trip_time,avg_speed,max_speed,stops_count,acceleration_variation,route_distance,trip_number,time_of_day,weight
35.87,54.22,70.24,4,0.975,21.088,124,16,17.04
84.49,40.6,49.67,4,1.027,34.059,25,20,23.84
38.84,51.84,65.93,4,1.095,23.098,22,9,16.26
86.73,39.86,51.19,6,1.273,33.103,210,4,22.55
75.22,44.79,60.04,5,1.161,34.476,176,12,20.14
114.85,38.71,53.78,3,1.006,44.38,34,23,25.78
92.22,42.2,57.22,2,1.022,38.582,62,12,25.35
93.05,45.11,60.56,5,1.253,42.444,44,10,20.27
26.1,55.2,64.29,3,0.697,17.743,87,10,11.97
52.42,49.27,62.76,6,1.058,28.295,64,17,16.75
119.05,42.41,55.94,8,1.49,48.994,72,8,22.16
108.29,42.68,54.06,5,1.357,45.239,116,17,26.68
28.04,48.51,55.63,1,0.772,15.875,42,23,14.07
16.12,53.13,68.51,4,0.873,9.794,194,18,15.75
115.2,36.84,51.29,9,1.423,40.138,160,22,24.57
58.09,48.28,58.38,6,1.252,29.37,167,18,20.29
57.32,46.51,57.98,1,0.821,27.639,38,20,21.83
12.32,55.19,64.58,4,0.961,7.788,156,0,15.54
42.08,52.79,68.61,1,0.866,26.155,184,8,18.49
23.82,54.32,67.04,2,0.911,15.703,39,6,16.32
14.92,49.38,63.16,2,0.728,8.269,165,20,18.86
44.43,51.69,62.84,1,0.752,27.043,79,5,17.32
156.42,34.55,50.55,6,1.289,48.978,173,23,31.23
117.81,42.41,59.42,4,1.116,52.406,105,16,23.04
39.45,45.42,58.4,5,1.007,18.766,176,2,19.75
30.61,56.31,69.31,1,0.826,20.661,33,16,13.82
19.26,54.48,71.09,2,0.992,11.576,86,8,18.83
151.23,38.18,55.57,6,1.487,53.329,60,7,26.18
16.18,51.54,61.79,3,0.866,9.859,55,23,14.46
169.41,36.5,50.4,7,1.77,54.77,68,19,28.81
86.49,43.16,59.43,6,1.067,39.535,84,18,20.31
91.89,48.21,65.79,2,0.988,47.005,28,7,21.24
29.34,54.61,71.99,6,1.136,17.829,155,15,14.09
80.85,45.17,61.59,6,1.265,37.787,121,8,20.56
16.14,58.37,72.6,2,0.584,12.103,182,14,12.27
81.14,46.89,63.4,5,1.455,40.421,155,9,20.8
64.03,51.94,61.96,2,0.979,37.419,33,14,18.01
107.53,45.97,55.31,3,1.114,48.931,16,17,24.14
83.99,46.15,63.62,1,0.869,39.713,93,7,20.08
185.27,32.17,44.29,4,1.221,56.534,106,0,30.02
56.75,49.3,63.98,1,0.941,31.752,53,2,19.35
82.14,41.4,48.71,3,1.213,34.923,172,21,23.09
21.03,47.54,64.96,5,0.983,10.406,128,23,18.82
20.67,51.75,59.21,2,0.845,12.075,164,16,16.31
24.03,55.56,69.91,2,0.939,15.435,24,2,15.69
22.6,50.25,60.75,3,0.855,12.597,179,14,16.75
16.96,62.69,73.9,3,0.992,13.571,46,10,8.69
31.52,53.77,64.98,2,0.783,19.914,99,5,14.61
29.55,58.82,70.49,1,0.712,20.84,97,9,13.81
98.48,41.92,55.73,4,1.241,42.322,180,18,25.45
52.69,49.55,65.73,1,0.845,31.551,61,23,16.89
110.18,46.55,60.16,3,1.147,54.243,53,20,20.61
45.27,49.37,63.35,2,0.952,24.161,75,4,19.36
15.88,50.82,62.64,3,0.762,9.766,80,12,12.89
131.88,38.63,53.84,5,1.125,49.976,40,12,24.82
101.95,46.08,57.34,3,1.036,49.898,39,7,22.14
43.26,51.42,65.25,2,0.864,25.209,51,10,17.09
14.58,59.6,69.44,4,0.983,10.126,103,9,13.68
159.41,35.42,52.12,7,1.613,51.865,76,1,26.01
121.06,42.27,51.34,4,1.044,54.577,86,9,23.42
148.09,39.59,52.87,5,1.046,57.854,158,8,25.41
39.49,55.04,64.92,3,0.905,26.639,53,7,14.02
22.21,51.3,67.61,3,0.921,13.047,200,14,15.4
45.59,51.76,63.62,4,1.125,25.956,165,17,17.15
100.52,38.89,47.31,8,1.377,36.657,39,1,25.7
13.85,55.37,71.49,7,1.121,8.728,69,8,11.47
38.45,49.2,64.92,7,1.121,20.622,41,0,16.63
155.57,37.3,44.76,6,1.304,55.01,60,19,25.11
17.46,46.95,54.84,6,1.331,8.776,81,22,15.92
18.6,60.76,72.6,3,0.924,14.274,29,11,10.08
61.21,52.64,68.62,3,0.852,36.423,4,22,18.05
152.2,38.86,54.11,5,1.266,55.823,97,15,27.22
164.32,34.42,42.83,4,1.127,54.926,154,20,24.93
32.61,52.54,62.25,1,0.685,19.762,67,22,17.95
69.82,49.68,65.1,2,0.931,38.109,189,14,19.66
146.66,37.39,47.05,3,0.813,56.198,81,10,22.53
76.41,45.82,56.2,4,1.116,38.928,198,17,18.22
26.89,52.55,66.53,0,0.813,17.911,52,4,14.62
76.9,48.98,66.93,1,0.783,42.223,119,7,18.78
60.89,48.83,62.28,2,0.92,32.829,168,13,20.98
55.33,54.55,63.57,4,1.0,31.93,13,4,17.9
50.07,54.53,72.03,3,0.771,31.651,204,11,15.62
17.63,55.47,70.87,1,0.589,12.295,80,20,10.94
111.22,44.21,53.05,5,1.126,47.156,110,18,23.79
40.55,53.32,68.55,1,0.747,24.368,138,21,16.6
32.62,47.43,57.06,4,0.896,16.015,141,20,19.51
44.5,54.42,64.4,1,0.604,29.204,6,7,15.6
75.52,49.4,65.33,3,1.174,39.617,190,17,19.53
81.29,40.09,53.11,2,0.858,35.002,137,8,20.47
124.69,41.19,56.56,8,1.674,48.684,219,23,25.36
141.34,37.2,47.4,4,1.293,49.931,104,4,27.09
91.98,43.16,50.21,6,1.44,38.46,135,6,23.02
66.08,49.8,56.94,3,0.936,34.913,97,22,19.81
94.7,37.95,48.83,5,1.053,35.687,195,5,23.33
57.19,44.32,58.47,5,1.084,26.745,183,14,21.79
73.3,39.68,47.8,1,0.892,30.667,199,6,21.21
65.78,49.17,62.7,5,1.253,33.626,111,6,22.3
110.23,43.35,54.51,2,1.015,47.745,174,16,23.99
102.88,43.89,53.66,5,1.181,44.912,79,19,23.9
29.78,50.22,58.88,3,0.807,16.572,101,5,17.34
152.12,38.65,51.35,4,1.224,56.858,167,23,27.74
190.56,31.4,41.0,5,1.244,56.215,18,2,31.34
38.16,49.34,57.42,3,1.018,20.88,156,2,17.3
161.92,37.67,54.83,3,1.023,57.941,4,23,28.25
72.1,43.76,55.36,3,0.973,33.543,128,1,21.64
36.26,48.78,60.34,6,1.333,18.177,105,7,18.45
81.67,49.54,67.11,3,1.026,43.606,103,2,18.11
13.04,58.87,73.83,1,0.853,8.97,109,5,15.34
98.7,42.8,59.66,9,1.543,41.913,108,1,20.77
107.07,46.34,53.34,4,1.41,49.503,90,8,24.73
46.35,49.9,63.4,4,0.853,24.553,99,7,17.68
55.76,43.31,54.53,7,1.548,23.733,125,3,21.76
38.63,48.28,55.72,3,0.823,20.53,168,17,18.59
55.52,49.11,61.07,7,1.431,27.486,121,0,21.8
74.95,46.6,54.84,5,1.126,36.032,141,11,18.6
139.6,35.84,49.46,8,1.504,45.746,184,7,29.12
113.17,43.72,55.75,6,1.272,52.161,217,15,21.92
64.18,50.32,59.83,6,1.211,34.751,24,8,16.35
54.71,50.08,63.02,2,0.781,30.962,157,11,19.31
46.7,52.38,63.96,5,1.154,25.796,50,19,19.21
68.47,47.01,62.65,3,1.024,37.16,44,3,16.99
20.98,55.35,69.77,1,0.619,13.961,174,10,15.6
46.68,54.85,68.79,3,1.017,30.548,16,13,13.56
70.62,45.27,61.06,3,1.29,32.703,186,17,24.95
86.65,44.02,60.88,7,1.455,38.909,169,12,21.13
13.98,58.91,66.18,3,0.843,10.029,218,17,12.52
66.33,40.72,54.13,4,1.113,28.629,147,19,19.37
119.33,40.54,52.04,6,1.661,45.731,192,18,26.07
104.41,43.5,51.55,3,1.249,46.878,26,14,20.74
68.7,47.44,55.5,3,0.75,34.475,195,22,18.39
172.27,34.84,44.48,11,1.905,51.402,36,0,27.55
110.67,43.18,55.27,7,1.281,45.371,69,11,26.47
112.22,41.59,48.96,4,1.01,47.561,29,19,22.34
118.57,41.58,55.96,5,1.125,47.338,88,2,24.99
138.87,35.44,50.86,9,1.642,44.023,165,19,27.9
152.92,35.83,48.55,3,1.167,50.596,59,0,28.35
16.92,58.86,72.9,1,0.721,11.489,181,18,15.03
64.15,48.67,56.05,2,1.131,32.444,133,4,23.47
135.24,38.22,46.06,5,1.211,49.01,138,16,26.06
17.43,58.69,67.14,3,0.805,12.129,206,19,12.56
18.66,61.04,72.17,2,0.79,14.493,95,19,9.81
58.09,43.05,58.81,2,0.97,27.183,76,13,21.6
119.16,34.85,51.26,10,1.904,35.549,218,21,30.26
99.06,44.68,61.89,3,1.122,43.781,122,3,23.96
72.79,46.99,62.07,3,1.149,35.383,135,5,22.7
22.38,60.0,74.22,2,0.583,17.657,65,3,10.95
106.52,47.75,65.42,6,1.25,50.167,48,17,23.77
29.56,55.62,67.75,2,0.776,20.147,38,21,12.47
133.81,39.48,47.77,6,1.423,50.688,49,22,26.23
60.56,47.35,59.79,4,0.953,31.996,43,12,18.57
14.3,53.89,62.73,3,1.082,8.585,164,3,17.21
69.64,45.27,55.94,8,1.383,31.197,13,4,21.15
68.65,49.45,59.69,3,0.85,40.184,138,15,13.51
169.17,34.68,43.0,8,1.667,51.818,208,21,30.71
88.44,42.17,54.57,4,1.061,36.48,168,23,22.95
126.27,45.28,60.55,4,0.835,57.559,89,17,21.46
50.25,48.02,63.85,3,0.783,26.108,14,21,17.59
36.89,49.07,56.95,4,1.094,19.154,183,11,17.01
47.42,51.35,66.63,2,0.852,29.333,1,4,14.99
90.73,43.73,51.03,4,1.062,40.409,150,11,21.14
20.42,52.8,66.58,4,0.961,11.392,147,2,18.04
16.91,54.33,65.07,1,0.688,11.135,43,16,16.03
92.89,42.03,50.01,3,1.077,38.651,163,7,24.02
39.79,58.08,65.32,4,1.038,26.267,39,8,15.42
135.65,37.17,51.13,8,1.542,46.836,50,0,28.4
34.29,54.25,62.24,4,1.146,20.08,178,23,16.62
62.84,46.33,63.78,5,1.149,28.822,215,10,23.78
73.06,43.72,54.78,5,1.14,33.023,58,18,20.8
158.05,37.09,47.78,6,1.42,55.031,202,12,25.36
11.56,52.6,69.52,3,1.107,6.878,201,15,17.62
31.99,49.65,65.99,2,1.045,17.675,169,11,17.52
18.48,55.02,66.15,5,1.177,11.24,31,16,14.48
129.84,42.49,56.11,0,0.989,57.553,66,4,25.01
24.43,50.9,64.96,5,1.207,13.309,149,23,17.14
134.9,37.56,52.94,5,1.515,48.895,219,10,27.81
75.81,43.97,56.37,6,1.162,33.283,179,0,23.79
107.06,44.39,54.22,4,0.911,46.795,93,22,21.97
38.91,51.65,59.89,3,0.937,22.038,52,0,15.92
70.72,42.46,53.68,5,1.208,30.986,211,11,20.42
133.09,43.79,54.27,6,1.231,56.861,61,18,22.22
15.15,59.35,67.37,2,0.716,11.403,75,8,10.77
114.05,38.98,49.35,9,1.751,38.464,212,5,30.88
176.21,35.49,49.22,6,1.257,55.854,124,5,28.53
20.37,52.92,64.34,4,0.993,13.024,58,16,14.52
89.21,48.63,56.97,1,0.92,49.762,2,13,17.61
35.16,52.53,66.43,4,0.949,20.72,95,12,15.91
38.69,43.72,54.51,6,1.258,16.834,216,12,19.92
24.44,55.28,66.76,2,1.01,15.074,95,7,16.96
125.39,37.91,47.64,4,1.301,44.385,154,22,28.11
10.25,62.12,76.59,3,0.796,8.344,56,5,7.36
67.67,44.14,61.89,6,1.224,28.156,170,20,21.31
80.21,50.27,59.07,2,0.899,42.392,170,18,22.67
23.24,51.91,64.57,3,0.978,13.691,134,0,15.01
36.97,46.19,64.04,7,1.313,18.04,170,4,20.91
31.05,45.43,58.79,5,1.267,14.353,127,13,19.21
13.17,49.79,61.48,2,0.902,7.844,83,3,17.08
56.13,48.0,55.02,4,0.994,30.01,162,20,17.84
50.14,54.83,68.58,1,0.752,32.083,183,10,16.58
203.05,31.13,48.75,8,1.655,55.204,185,20,30.71
110.24,40.78,49.57,4,0.984,43.996,47,2,23.91
207.7,31.19,40.13,10,1.691,56.463,149,0,30.77
110.63,42.18,53.55,6,1.441,45.481,1,15,24.3
124.8,47.77,61.72,5,1.181,56.906,126,19,25.15
35.32,51.65,69.14,2,0.896,19.282,126,23,20.22
29.71,45.73,59.71,2,0.774,15.131,80,18,17.55
46.13,51.61,64.91,3,0.947,26.652,218,17,18.01
69.66,46.98,54.58,3,1.355,31.827,194,1,25.39
80.8,50.84,67.76,2,0.786,48.97,9,14,15.08
64.52,48.63,57.69,2,0.798,34.385,46,17,18.87
142.2,40.9,51.5,8,1.41,55.552,46,9,23.52
43.89,45.74,59.23,5,1.274,21.359,197,23,20.49
86.91,42.26,56.75,8,1.738,36.314,114,23,23.08
88.04,42.5,57.31,2,0.761,40.06,160,20,21.48
26.38,50.24,66.0,6,1.345,14.527,178,21,17.4
112.01,40.84,58.73,2,0.982,46.954,169,13,21.0
79.4,46.47,63.78,4,1.088,39.429,20,19,17.3
27.1,54.08,66.85,2,0.968,16.383,31,1,15.45
57.35,45.11,56.81,5,1.116,27.796,87,5,19.18
76.88,48.31,59.47,3,1.137,39.499,75,15,22.32
91.82,43.96,52.21,1,0.922,44.27,164,2,19.88
61.88,44.33,56.26,6,1.461,27.995,35,19,19.94
131.83,34.21,44.48,3,1.258,43.708,82,4,26.55
31.01,56.93,64.78,2,0.944,19.925,52,8,15.01
32.57,54.86,64.01,1,0.691,22.208,42,6,13.93
10.0,65.92,80.53,2,0.811,7.106,38,12,10.32
52.26,50.77,58.65,2,0.933,31.609,43,1,13.9
25.53,52.63,60.01,3,0.675,16.199,124,19,11.53
65.52,51.8,66.05,3,0.982,37.506,90,21,18.38
120.14,48.06,63.86,4,1.315,56.231,96,17,25.46
177.91,35.4,51.61,4,1.177,57.982,105,4,29.19
57.74,44.22,52.59,7,1.384,25.782,163,6,19.67
148.95,33.27,46.18,8,1.386,44.282,189,5,28.65
118.97,43.45,59.28,4,1.168,55.976,116,14,20.23
79.31,39.74,47.03,5,1.201,33.456,141,21,20.83
42.66,50.52,62.36,3,0.9,23.697,162,21,17.64
23.45,51.75,59.7,1,0.513,14.523,152,22,17.21
20.66,61.97,76.05,3,0.881,15.567,30,16,11.66
125.27,41.64,59.29,7,1.51,50.486,216,5,24.57
28.92,54.73,63.68,2,0.891,19.838,37,9,12.89
32.31,53.41,62.89,1,0.824,20.439,91,7,16.29
122.37,37.8,46.47,4,1.353,44.953,143,1,25.83
133.73,41.6,55.56,8,1.519,49.596,89,19,23.92
24.46,59.01,73.04,0,0.724,17.235,54,13,13.29
148.77,34.46,50.2,10,1.621,41.964,203,23,32.94
54.76,49.79,62.78,4,1.058,29.5,16,20,15.59
27.16,58.12,66.32,0,0.418,20.752,54,15,11.85
75.11,45.61,53.99,4,1.037,33.292,218,1,24.29
136.0,34.58,46.19,5,1.269,46.541,160,10,27.4
18.4,54.29,68.77,1,0.793,11.624,20,11,16.33
14.79,55.82,67.71,1,0.805,10.163,166,16,13.3
143.33,37.69,49.01,2,1.055,53.454,213,13,28.7
169.02,36.8,49.06,9,1.626,56.115,22,18,26.77
87.53,39.23,52.61,4,1.204,33.721,91,0,25.36
25.05,49.49,65.39,3,0.874,13.896,103,2,17.13
18.86,50.11,57.28,5,0.851,10.546,29,22,15.11
20.01,57.0,66.84,0,0.636,14.534,44,10,14.53
39.59,49.31,61.95,1,0.88,21.055,39,19,19.99
104.87,39.43,46.76,2,0.943,41.719,41,20,23.91
20.47,54.4,70.14,2,1.016,12.178,89,2,16.95
20.0,53.15,60.32,0,0.545,13.552,102,16,11.6
114.18,40.23,54.26,5,1.291,43.221,53,4,26.86
37.9,45.35,61.47,2,0.969,19.756,64,3,19.68
30.95,49.51,58.04,5,1.123,17.627,43,5,14.37
69.81,48.97,63.09,6,1.221,36.506,175,18,17.02
14.43,58.43,68.82,1,0.685,10.558,47,2,12.55
98.89,40.56,52.39,6,1.231,38.899,199,16,25.05
11.02,57.97,74.92,3,0.872,7.49,119,9,12.18
40.46,45.52,59.66,5,1.298,18.501,176,6,21.41
69.87,42.88,58.57,3,1.211,29.701,140,5,23.35
77.53,47.13,55.98,4,1.152,38.994,59,8,18.81
28.95,53.75,68.77,6,1.299,16.998,132,8,18.05
111.34,44.41,52.51,2,1.002,51.779,61,7,22.84
133.92,39.01,55.85,2,0.87,53.83,26,12,23.6
57.02,48.22,59.91,1,0.766,31.257,56,23,15.08
29.47,58.2,69.16,2,0.808,20.529,61,10,12.21
19.83,51.54,61.25,2,0.711,12.19,30,4,14.29
145.33,40.77,50.95,10,1.71,54.843,6,14,23.66
25.76,49.04,62.42,6,1.08,13.379,207,19,18.41
40.11,50.38,60.2,6,1.326,21.883,113,14,16.49
37.26,52.44,66.35,0,0.675,23.441,89,12,12.4
34.17,53.99,61.25,3,0.953,20.32,204,16,16.89
10.0,57.25,70.61,0,0.579,6.606,50,21,10.66
28.55,52.15,64.27,4,1.042,17.166,89,1,17.4
106.41,40.53,50.82,1,0.747,45.048,186,23,23.05
25.43,57.94,65.2,3,0.756,17.078,139,21,15.54
88.23,46.92,56.02,3,0.864,45.85,88,23,17.37
59.36,44.79,62.28,4,1.085,27.918,57,11,18.97
15.0,57.91,65.3,1,0.907,10.673,8,20,12.84
110.01,43.06,50.45,4,1.133,49.089,19,1,23.71
74.94,48.34,57.31,4,0.879,39.21,36,9,18.1
102.69,41.99,51.25,7,1.534,38.024,173,21,26.31
24.18,51.32,67.7,3,0.897,14.236,140,6,15.39
78.06,48.91,58.44,4,0.945,38.603,95,18,21.26
121.12,42.9,54.54,7,1.262,47.522,172,7,23.74
153.65,37.77,45.11,2,1.144,57.813,36,14,24.48
86.03,43.42,57.52,5,1.092,41.048,47,15,18.49
56.28,50.76,62.27,5,1.244,28.757,87,21,22.26
124.99,40.8,55.77,9,1.412,48.672,201,8,26.41
12.49,58.93,68.89,2,0.866,9.095,135,18,10.13
64.2,44.81,57.94,8,1.399,28.093,187,10,21.87
78.78,51.15,59.66,3,0.922,44.208,55,9,19.43
63.08,38.1,53.52,6,1.435,25.011,186,1,22.37
14.76,53.04,61.56,1,0.519,9.534,16,1,15.75
16.51,59.73,77.15,1,0.446,12.213,50,18,12.65
24.9,52.32,69.77,1,0.915,15.11,115,2,16.65
112.56,43.65,58.56,6,1.216,49.311,12,2,19.99
97.16,44.25,53.49,5,1.257,43.623,188,4,24.28
98.5,45.47,54.31,4,1.164,45.839,190,8,21.95
175.51,33.32,47.06,7,1.456,53.331,119,3,29.49
41.08,48.89,59.37,6,0.987,22.084,67,14,16.01
89.18,49.86,58.53,7,1.063,44.768,22,19,19.13
48.31,50.47,66.2,6,1.368,25.276,136,12,19.75
131.84,37.1,45.12,5,1.303,46.963,118,15,26.73
98.52,42.3,56.11,4,1.166,42.339,167,21,22.38
119.31,45.34,52.56,4,1.222,57.475,132,21,21.68
92.44,46.76,55.1,5,0.919,45.489,29,15,19.49
10.0,56.97,65.28,1,0.517,6.804,27,1,12.44
106.1,42.04,52.19,7,1.182,42.54,172,18,24.79
14.36,62.31,74.71,0,0.643,11.735,35,18,11.72
66.27,48.33,62.8,6,1.194,34.624,206,7,16.66
21.53,54.41,62.51,1,0.735,14.602,24,3,14.65
67.19,45.55,57.72,6,1.53,31.978,160,3,18.96
129.53,37.56,47.02,7,1.422,47.32,214,6,22.73
37.3,53.81,71.79,4,1.068,21.389,97,17,16.58
20.67,55.64,64.32,3,0.709,14.363,13,22,11.43
48.94,47.22,64.42,4,1.093,22.696,192,3,23.31
22.63,57.37,74.61,1,0.791,15.443,42,9,12.26
27.74,49.68,60.55,4,0.878,15.953,116,20,16.3
132.8,36.67,51.63,7,1.418,42.407,216,2,30.64
108.17,38.24,52.85,5,1.016,42.773,164,22,22.98
55.61,53.37,69.32,3,0.89,33.751,11,0,16.66
37.64,47.55,60.81,3,0.979,19.489,180,6,20.02
60.47,48.26,65.16,3,0.705,33.777,36,0,17.13
127.14,46.16,60.75,8,1.54,55.35,165,18,25.84
56.55,45.45,54.61,5,0.947,26.26,136,10,20.61
76.2,36.66,49.3,6,1.245,28.314,64,10,20.33
61.95,49.73,66.11,6,1.146,31.955,93,13,18.81
25.27,55.7,66.23,5,1.098,15.688,26,7,15.09
30.49,50.99,58.48,2,0.958,19.103,217,18,13.95
108.76,40.43,54.51,2,1.289,42.084,53,10,31.14
19.68,62.75,79.92,1,0.643,14.821,68,19,10.61
63.69,49.79,57.56,1,0.708,37.632,111,15,18.6
53.84,46.72,60.36,4,1.034,26.373,148,16,21.31
37.32,52.16,63.77,4,0.911,22.274,111,23,14.02
74.4,45.85,52.93,6,1.176,34.812,111,12,21.09
34.52,52.1,65.01,5,1.104,18.123,128,7,20.35
44.74,46.65,59.41,1,0.804,22.448,188,17,20.21
84.53,40.92,53.79,6,1.316,33.514,87,16,24.38
136.17,31.55,47.15,4,1.166,40.351,183,11,28.66
139.93,38.18,48.48,8,1.642,49.572,173,8,23.62
158.03,35.44,50.85,6,1.534,48.97,211,22,29.56
70.73,46.78,60.6,6,1.383,32.134,200,6,22.4
16.33,53.13,60.67,4,1.007,10.322,175,1,14.38
25.67,53.3,63.24,1,0.68,16.185,55,15,16.08
10.84,54.48,69.91,2,0.807,6.524,170,1,16.41
32.17,47.59,61.8,2,0.718,16.058,162,18,22.2
10.0,64.04,78.65,1,0.473,8.083,64,20,5.41
98.85,44.23,58.36,5,1.139,43.309,149,17,21.21
68.74,47.0,56.95,4,1.006,34.627,56,5,20.47
11.39,56.51,63.55,2,0.51,8.34,115,22,11.14
105.99,35.56,45.71,8,1.491,38.309,175,2,24.08
109.17,43.75,58.91,4,1.149,48.429,42,2,22.72
10.93,60.91,76.77,3,0.776,7.97,74,7,13.6
25.31,47.05,57.86,2,1.154,13.043,175,12,18.04
52.98,49.52,61.17,1,0.646,30.767,100,17,18.5
14.69,53.87,61.68,6,1.11,8.679,211,6,15.76
11.92,55.22,62.41,1,0.853,7.596,2,21,13.18
67.0,52.87,69.07,3,1.091,36.494,159,19,19.29
74.22,42.52,54.02,2,0.948,35.473,179,5,20.28
116.64,40.15,47.63,2,0.862,48.043,202,1,23.5
15.11,55.92,68.1,1,0.62,10.512,35,16,12.23
185.71,33.26,50.4,12,1.869,52.705,216,4,31.31
10.0,64.3,81.98,2,0.477,7.46,86,6,7.58
34.18,55.36,72.79,2,1.021,22.02,78,18,14.87
12.25,58.44,67.47,1,0.776,9.007,78,4,11.2
34.24,49.8,65.59,1,0.689,19.079,140,8,18.65
133.97,39.75,52.06,9,1.543,48.481,145,22,25.62
19.91,55.23,62.92,3,0.885,12.945,104,16,13.24
28.94,50.08,58.38,0,0.689,16.897,16,14,15.58
91.92,43.23,55.38,9,1.604,37.985,217,23,23.28
12.72,53.16,70.99,3,0.658,7.616,49,18,14.62
78.89,45.7,56.53,5,1.145,37.525,21,11,20.56
134.72,39.7,48.22,4,1.306,52.56,131,15,23.59
15.1,54.86,71.16,1,0.787,10.082,91,12,12.88
11.59,51.98,68.33,6,1.115,6.804,135,8,19.27
50.15,48.12,57.18,3,0.922,27.406,192,23,18.6
112.77,43.01,53.74,3,1.316,50.227,22,14,22.28
131.22,42.75,58.45,2,0.924,54.662,63,17,24.75
100.72,47.32,63.89,5,1.183,47.76,114,9,22.5
104.57,39.28,51.8,5,1.236,39.941,173,4,25.43
54.36,46.75,58.79,3,0.968,28.468,132,2,18.16
119.73,40.42,53.51,3,1.333,47.132,84,19,25.56
106.81,42.52,60.36,5,1.323,45.47,134,12,20.19
29.89,47.46,55.7,1,0.948,15.957,215,12,19.72
130.71,34.18,50.99,6,1.336,43.363,106,2,24.55
142.65,36.67,48.87,9,1.743,47.318,194,18,29.93
151.07,37.88,53.45,5,1.119,52.895,171,6,28.98
104.52,42.38,59.42,8,1.424,44.075,66,14,22.25
76.83,50.85,67.15,0,0.67,44.218,55,8,17.75
137.02,40.6,50.65,7,1.622,52.933,169,5,26.18
22.11,58.84,71.89,0,0.559,16.505,46,3,10.1
58.41,52.6,65.54,2,0.837,34.827,74,19,16.92
103.11,49.17,59.7,3,1.078,52.515,52,2,21.46
86.54,46.15,58.26,8,1.423,39.03,133,0,20.44
136.7,41.02,51.21,5,1.238,54.464,65,7,25.13
14.1,53.62,69.44,3,0.537,9.097,145,21,14.94
33.88,48.51,65.74,6,1.357,17.519,205,16,19.24
38.41,46.58,58.36,7,1.261,17.899,182,19,21.7
22.08,42.79,60.01,5,1.135,10.544,208,4,17.91
60.1,55.02,65.03,2,0.816,38.57,6,23,14.41
53.99,48.38,62.38,1,1.046,27.175,100,2,21.37
35.54,49.23,64.91,4,0.776,18.987,49,0,17.62
92.63,46.97,60.54,5,1.234,43.978,202,11,22.82
90.11,45.04,59.5,4,1.276,41.323,156,10,21.49
11.09,58.05,70.23,3,0.861,8.52,71,6,10.67
67.45,42.84,57.07,3,1.135,29.134,124,4,20.26
103.1,44.13,58.61,7,1.337,43.591,133,7,23.93
18.91,53.64,70.08,4,0.928,11.824,109,8,14.98
80.97,48.83,56.8,2,0.943,47.44,104,14,15.95
62.54,52.26,64.96,1,0.711,38.227,13,8,15.77
102.95,42.16,54.59,8,1.441,43.484,100,5,23.72
34.36,53.38,63.97,4,1.123,19.396,77,14,18.35
116.02,41.62,53.08,6,1.293,45.007,180,13,25.11
28.35,51.06,67.33,4,1.22,15.445,190,10,19.73
182.19,31.3,40.97,9,1.688,50.808,165,2,29.33
25.1,59.34,76.5,2,0.955,17.109,7,23,12.96
33.45,51.83,64.77,2,0.861,20.314,185,12,18.08
92.48,43.72,58.1,3,1.048,41.049,87,6,22.18
28.88,61.81,77.53,2,0.865,23.678,92,17,8.61
39.14,49.53,65.67,4,0.908,22.416,207,10,16.11
16.32,54.23,70.09,4,1.063,9.721,190,3,16.33
112.57,43.5,59.63,5,1.159,48.735,12,16,22.55
52.84,50.73,61.33,2,0.911,30.157,79,2,17.16
44.94,51.32,68.59,2,0.841,26.742,165,6,16.99
23.98,62.43,78.98,0,0.732,19.145,119,15,14.07
65.42,50.25,61.67,5,1.26,35.094,57,17,20.56
95.3,41.12,48.19,9,1.548,35.318,115,23,23.5
10.0,59.99,72.11,0,0.69,6.621,190,17,10.68
15.54,58.29,70.75,2,0.902,10.909,49,5,11.73
98.91,39.98,53.84,7,1.615,38.066,164,17,25.95
30.96,54.88,71.13,1,0.684,21.125,161,18,11.68
243.98,28.03,36.16,8,1.726,57.166,194,16,35.06
30.02,55.04,69.01,4,1.013,19.302,66,17,15.04
24.11,55.17,63.12,3,0.959,14.331,48,19,15.56
13.8,55.22,67.96,1,0.619,8.799,120,13,12.32
102.67,39.79,49.25,3,1.061,41.856,117,23,24.63
40.73,48.17,60.44,2,1.001,21.467,90,15,19.38
40.6,47.55,55.4,9,1.28,20.609,171,1,17.89
16.89,53.49,62.65,1,0.659,12.187,175,4,12.16
10.32,71.27,88.76,1,0.695,9.202,54,11,9.19
27.76,57.35,69.03,3,0.717,18.364,175,10,14.23
36.98,58.44,66.03,1,0.853,26.926,51,19,11.85
83.13,45.82,58.32,4,0.857,40.596,90,16,20.34
19.7,51.75,59.78,4,0.878,11.712,6,0,12.7
52.3,44.85,55.18,3,1.059,25.358,75,10,20.41
145.97,41.24,51.48,5,0.963,57.609,210,13,25.31
111.55,39.93,53.96,4,1.303,41.578,97,23,27.86
166.05,37.73,51.32,6,1.332,57.958,156,15,27.81
15.33,56.52,64.12,2,0.772,10.59,24,4,13.07
72.92,40.19,55.93,6,1.321,27.351,140,4,25.72
25.84,61.8,71.66,1,0.609,18.357,82,7,13.81
142.72,38.29,49.66,5,1.381,54.99,163,9,24.14
193.6,31.38,40.22,4,1.26,53.122,204,2,33.47
60.49,52.47,69.71,3,0.803,35.804,117,18,20.0
37.95,51.74,66.84,1,0.895,22.317,23,1,16.13
